"","cluster_1","cluster_2","cluster_3"
"TINAGL1",2,2,3
"HCRTR1",2,2,3
"PEF1",2,2,3
"COL16A1",2,2,3
"SPOCD1",2,2,3
"AL136115.1",2,2,3
"PTP4A2",2,2,3
"KHDRBS1",2,2,3
"TMEM39B",2,2,3
"KPNA6",2,2,3
"TXLNA",2,2,3
"CCDC28B",2,2,3
"IQCC",2,2,3
"DCDC2B",2,2,3
"TMEM234",2,2,3
"EIF3I",2,2,3
"FAM167B",2,2,3
"LCK",2,2,3
"HDAC1",2,2,3
"MARCKSL1",2,2,3
"TSSK3",2,2,3
"FAM229A",2,2,3
"BSDC1",2,2,3
"ZBTB8B",2,2,3
"ZBTB8A",2,2,3
"ZBTB8OS",2,2,3
"RBBP4",2,2,3
"SYNC",2,2,3
"KIAA1522",2,2,3
"YARS",2,2,3
"S100PBP",2,2,3
"FNDC5",2,2,3
"HPCA",2,2,3
"TMEM54",2,2,3
"RNF19B",2,2,3
"AK2",2,2,3
"TRIM62",2,2,3
"ZNF362",2,2,3
"AL513327.1",2,2,3
"PHC2",2,2,3
"ZSCAN20",2,2,3
"CSMD2",2,2,3
"C1orf94",2,2,3
"GJB5",2,2,3
"GJB4",2,2,3
"GJB3",2,2,3
"SMIM12",2,2,3
"GJA4",2,2,3
"DLGAP3",2,2,3
"ZMYM6",2,2,3
"ZMYM1",2,2,3
"SFPQ",2,2,3
"ZMYM4",2,2,3
"ZMYM4-AS1",2,2,3
"KIAA0319L",2,2,3
"NCDN",2,2,3
"TFAP2E",2,2,3
"PSMB2",2,2,3
"C1orf216",2,2,3
"CLSPN",2,2,3
"AGO4",2,2,3
"AGO1",2,2,3
"AGO3",2,2,3
"TEKT2",2,2,3
"ADPRHL2",2,2,3
"COL8A2",2,2,3
"TRAPPC3",2,2,3
"MAP7D1",2,2,3
"THRAP3",2,2,3
"SH3D21",2,2,3
"EVA1B",2,2,3
"STK40",2,2,3
"LSM10",2,2,3
"OSCP1",2,2,3
"MRPS15",2,2,3
"CSF3R",2,2,3
"GRIK3",2,2,3
"LINC01137",2,2,3
"ZC3H12A",2,2,3
"MEAF6",2,2,3
"SNIP1",2,2,3
"DNALI1",2,2,3
"GNL2",2,2,3
"RSPO1",2,2,3
"C1orf109",2,2,3
"CDCA8",2,2,3
"EPHA10",2,2,3
"MANEAL",2,2,3
"YRDC",2,2,3
"C1orf122",2,2,3
"MTF1",2,2,3
"INPP5B",2,2,3
"SF3A3",2,2,3
"FHL3",2,2,3
"POU3F1",2,2,3
"RRAGC",2,2,3
"MYCBP",2,2,3
"RHBDL2",2,2,3
"AKIRIN1",2,2,3
"NDUFS5",2,2,3
"MACF1",2,2,3
"BMP8A",2,2,3
"PABPC4",2,2,3
"HEYL",2,2,3
"PPIE",2,2,3
"OXCT2",2,2,3
"BMP8B",2,2,3
"TRIT1",2,2,3
"MYCL",2,2,3
"MFSD2A",2,2,3
"CAP1",2,2,3
"PPT1",2,2,3
"RLF",2,2,3
"TMCO2",2,2,3
"ZMPSTE24",2,2,3
"COL9A2",2,2,3
"SMAP2",2,2,3
"ZFP69B",2,2,3
"ZFP69",2,2,3
"EXO5",2,2,3
"ZNF684",2,2,3
"RIMS3",2,2,3
"NFYC-AS1",2,2,3
"NFYC",2,2,3
"KCNQ4",2,2,3
"CITED4",2,2,3
"CTPS1",2,2,3
"SLFNL1",2,2,3
"SCMH1",2,2,3
"FOXO6",2,2,3
"EDN2",2,2,3
"HIVEP3",2,2,3
"GUCA2B",2,2,3
"GUCA2A",2,2,3
"FOXJ3",2,2,3
"RIMKLA",2,2,3
"ZMYND12",2,2,3
"PPCS",2,2,3
"CCDC30",2,2,3
"PPIH",2,2,3
"YBX1",2,2,3
"CLDN19",2,2,3
"C1orf50",2,2,3
"ERMAP",2,2,3
"ZNF691",2,2,3
"SLC2A1",2,2,3
"SLC2A1-AS1",2,2,3
"FAM183A",2,2,3
"EBNA1BP2",2,2,3
"TMEM125",2,2,3
"C1orf210",2,2,3
"TIE1",2,2,3
"MPL",2,2,3
"CDC20",2,2,3
"ELOVL1",2,2,3
